,county,sub-county,Age,Male,Female,Total
32956,NAIROBI,STAREHE,Not Stated,6,3,9
32957,NAIROBI,WESTLANDS,Total,153818,155021,308839
32958,NAIROBI,WESTLANDS,0,2978,2940,5918
32959,NAIROBI,WESTLANDS,1,3108,3074,6182
32960,NAIROBI,WESTLANDS,2,2878,2795,5673
32961,NAIROBI,WESTLANDS,3,2798,2853,5651
32962,NAIROBI,WESTLANDS,4,2679,2627,5306
32963,NAIROBI,WESTLANDS,0 - 4,14441,14289,28730
32964,NAIROBI,WESTLANDS,5,2648,2573,5221
32965,NAIROBI,WESTLANDS,6,2517,2641,5158
32966,NAIROBI,WESTLANDS,7,2660,2633,5293
32967,NAIROBI,WESTLANDS,8,2452,2456,4908
32968,NAIROBI,WESTLANDS,9,2608,2627,5235
32969,NAIROBI,WESTLANDS,5-9,12885,12930,25815
32970,NAIROBI,WESTLANDS,10,2452,2507,4959
32971,NAIROBI,WESTLANDS,11,2311,2339,4650
32972,NAIROBI,WESTLANDS,12,2310,2448,4758
32973,NAIROBI,WESTLANDS,13,2362,2506,4868
32974,NAIROBI,WESTLANDS,14,2190,2264,4454
32975,NAIROBI,WESTLANDS,10 -14,11625,12064,23689
32976,NAIROBI,WESTLANDS,15,2104,2132,4236
32977,NAIROBI,WESTLANDS,16,1965,2311,4276
32978,NAIROBI,WESTLANDS,17,2099,2317,4416
32979,NAIROBI,WESTLANDS,18,1887,2187,4074
32980,NAIROBI,WESTLANDS,19,2317,2798,5115
32981,NAIROBI,WESTLANDS,15-19,10372,11745,22117
32982,NAIROBI,WESTLANDS,20,2518,3245,5763
32983,NAIROBI,WESTLANDS,21,2941,3485,6426
32984,NAIROBI,WESTLANDS,22,3144,3600,6744
32985,NAIROBI,WESTLANDS,23,3611,4042,7653
32986,NAIROBI,WESTLANDS,24,3567,3828,7395
32987,NAIROBI,WESTLANDS,20-24,15781,18200,33981
32988,NAIROBI,WESTLANDS,25,3818,3904,7722
32989,NAIROBI,WESTLANDS,26,3442,3650,7092
32990,NAIROBI,WESTLANDS,27,3484,3568,7052
32991,NAIROBI,WESTLANDS,28,3084,3225,6309
32992,NAIROBI,WESTLANDS,29,3348,3464,6812
32993,NAIROBI,WESTLANDS,25-29,17176,17811,34987
32994,NAIROBI,WESTLANDS,30,3726,3924,7650
32995,NAIROBI,WESTLANDS,31,2895,2871,5766
32996,NAIROBI,WESTLANDS,32,3445,3699,7144
32997,NAIROBI,WESTLANDS,33,2825,2980,5805
32998,NAIROBI,WESTLANDS,34,2851,2981,5832
32999,NAIROBI,WESTLANDS,30-34,15742,16455,32197
33000,NAIROBI,WESTLANDS,35,3140,3304,6444
33001,NAIROBI,WESTLANDS,36,2500,2556,5056
33002,NAIROBI,WESTLANDS,37,2467,2421,4888
33003,NAIROBI,WESTLANDS,38,2295,2393,4688
33004,NAIROBI,WESTLANDS,39,2361,2320,4681
33005,NAIROBI,WESTLANDS,35-39,12763,12994,25757
33006,NAIROBI,WESTLANDS,40,2703,2626,5329
33007,NAIROBI,WESTLANDS,41,2241,2124,4365
33008,NAIROBI,WESTLANDS,42,2303,2189,4492
33009,NAIROBI,WESTLANDS,43,2039,2014,4053
33010,NAIROBI,WESTLANDS,44,1858,1747,3605
33011,NAIROBI,WESTLANDS,40-44,11144,10700,21844
33012,NAIROBI,WESTLANDS,45,2347,2122,4469
33013,NAIROBI,WESTLANDS,46,1874,1624,3498
33014,NAIROBI,WESTLANDS,47,1931,1636,3567
33015,NAIROBI,WESTLANDS,48,1544,1361,2905
33016,NAIROBI,WESTLANDS,49,1780,1417,3197
33017,NAIROBI,WESTLANDS,45-49,9476,8160,17636
33018,NAIROBI,WESTLANDS,50,1833,1593,3426
